lng,lat
-0.198465,51.505538
-0.178838,51.491836
-0.205590,51.514910
-0.208327,51.514952
-0.206022,51.496572
-0.193610,51.500788
-0.173519,51.495171
-0.163542,51.492497
-0.211980,51.513659
-0.199786,51.515900
-0.216407,51.518402
-0.184495,51.501726
-0.172522,51.491289
-0.195797,51.492818
-0.166886,51.488143
-0.166882,51.488233
-0.214099,51.514770
-0.183889,51.484361
-0.207725,51.519259
-0.172964,51.491026
-0.163102,51.499864
-0.192941,51.488548
-0.193675,51.488199
-0.215564,51.517850
-0.185515,51.483307
-0.163793,51.496997
-0.158276,51.494483
-0.194671,51.506739
-0.167365,51.483385
-0.167321,51.488060
-0.172881,51.482302
-0.197319,51.509028
-0.160434,51.501711
-0.215936,51.504636
-0.215377,51.526300
-0.185591,51.485017
-0.164763,51.483614
-0.159271,51.501962
-0.182860,51.484885
-0.166709,51.492547
-0.165997,51.492356
-0.214056,51.519535
-0.205446,51.514908
-0.176955,51.488480
-0.158650,51.495928
-0.227035,51.519372
-0.192799,51.499426
-0.173334,51.481769
-0.196819,51.510729
-0.193059,51.500150
-0.157984,51.494568
-0.170251,51.486847
-0.221160,51.514787
-0.178139,51.487689
-0.218090,51.515910
-0.210203,51.511203
-0.214021,51.524121
-0.209563,51.516499
-0.178728,51.480144
-0.155880,51.489589
-0.203266,51.508040
-0.182567,51.481373
-0.215743,51.505892
-0.157499,51.492312
-0.205256,51.516074
-0.180503,51.486197
-0.193459,51.500965
-0.160914,51.496952
-0.210912,51.518858
-0.179323,51.486898
-0.190458,51.489409
-0.224558,51.520054
-0.201846,51.522136
-0.210248,51.517409
-0.181786,51.479293
-0.178436,51.480230
-0.156758,51.492840
-0.208464,51.515134
-0.193462,51.500875
-0.156165,51.489684
-0.193610,51.500788
-0.169718,51.492953
-0.202383,51.512163
-0.176260,51.484243
-0.167361,51.483474
-0.168203,51.487624
-0.198869,51.506264
-0.194628,51.493250
-0.167994,51.492837
-0.166620,51.487599
-0.167653,51.483389
-0.206229,51.498643
-0.186404,51.482691
-0.173331,51.481859
-0.185780,51.480254
-0.202664,51.497689
-0.173755,51.482045
-0.201527,51.508283
-0.192790,51.488725
-0.182712,51.484972
-0.170837,51.486586
-0.160578,51.501713
-0.161495,51.486080
-0.197795,51.511553
-0.188655,51.487672
-0.157341,51.492670
-0.187321,51.492238
-0.173897,51.496526
-0.204204,51.520824
-0.204365,51.509406
-0.209282,51.516315
-0.178456,51.490572
-0.186209,51.502112
-0.185633,51.480341
-0.184611,51.480685
-0.172792,51.495339
-0.191112,51.494724
-0.173910,51.485375
-0.194273,51.509521
-0.180618,51.501396
-0.188218,51.502323
-0.209967,51.517225
-0.166296,51.488494
-0.169430,51.496546
-0.167177,51.488058
-0.160171,51.501077
-0.167519,51.497505
-0.199786,51.515900
-0.179172,51.487076
-0.216361,51.515883
-0.170697,51.490091
-0.174990,51.483593
-0.180830,51.485213
-0.221550,51.515872
-0.206402,51.512584
-0.175087,51.484764
-0.205994,51.515635
-0.163316,51.483771
-0.215564,51.517850
-0.165788,51.490374
-0.198863,51.491786
-0.214025,51.524031
-0.181239,51.478565
-0.206159,51.496754
-0.167653,51.483389
-0.157211,51.492308
-0.188655,51.487672
-0.196032,51.494170
-0.209696,51.516771
-0.177109,51.481019
-0.196093,51.499927
-0.221297,51.514969
-0.194612,51.497296
-0.187454,51.481629
-0.184331,51.484098
-0.174936,51.484941
-0.184348,51.490933
-0.184191,51.484006
-0.207855,51.519620
-0.188795,51.487764
-0.204561,51.497089
-0.215898,51.527746
-0.222692,51.516159
-0.186404,51.482691
-0.175627,51.489269
-0.196015,51.509188
-0.187642,51.502314
-0.180015,51.491225
-0.182272,51.481548
-0.201073,51.512503
-0.215564,51.517850
-0.170772,51.488204
-0.189939,51.495246
-0.190828,51.501914
-0.183856,51.481573
-0.172057,51.492091
-0.193227,51.492239
-0.159540,51.491715
-0.194437,51.512670
-0.200994,51.492538
-0.173594,51.493284
-0.183028,51.495139
-0.209149,51.516043
-0.226358,51.521970
-0.195176,51.508545
-0.175821,51.484416
-0.158682,51.484418
-0.191108,51.502098
-0.209353,51.510831
-0.174717,51.494021
-0.185640,51.480162
-0.196000,51.494979
-0.185373,51.479618
-0.161249,51.492191
-0.161525,51.499660
-0.159196,51.500252
-0.209245,51.506243
-0.178436,51.480230
-0.223353,51.521385
-0.174854,51.494202
-0.218297,51.517981
-0.211730,51.520039
-0.157067,51.492306
-0.162659,51.500127
-0.173782,51.495804
-0.200555,51.492711
-0.184331,51.484098
-0.179134,51.495258
-0.214861,51.517389
-0.216407,51.518402
-0.205170,51.507260
-0.186925,51.502213
-0.187321,51.492238
-0.175768,51.489361
-0.171129,51.486501
-0.161759,51.501012
-0.152888,51.485226
-0.150127,51.485812
-0.175821,51.484416
-0.179175,51.486986
-0.212538,51.521490
-0.161165,51.501452
-0.181114,51.481710
-0.173382,51.494989
-0.170697,51.490091
-0.205872,51.507720
-0.162041,51.490405
-0.154902,51.488854
-0.205256,51.516074
-0.215564,51.517850
-0.207044,51.496228
-0.188506,51.502328
-0.199159,51.498895
-0.209149,51.516043
-0.193318,51.500873
-0.184211,51.501632
-0.156898,51.492932
-0.166338,51.498206
-0.191404,51.501923
-0.215377,51.526300
-0.187403,51.490171
-0.172590,51.485984
-0.174121,51.501745
-0.216407,51.518402
-0.210648,51.518224
-0.193466,51.500785
-0.185212,51.501827
-0.187842,51.489998
-0.190721,51.490042
-0.204561,51.497089
-0.191006,51.490136
-0.210508,51.518132
-0.198341,51.508684
-0.175965,51.484418
-0.177070,51.485604
-0.203814,51.508768
-0.211730,51.520039
-0.215788,51.504724
-0.193878,51.504928
-0.177247,51.488395
